Endurance   record: LOA 44 m  LWL 39.6 m  beam 7.6 m  draught 4.2 m
  model extent   x   -32.59 ..   +27.47   =   60.06 m   (record LOA 44)   Δ +16.06 m
  model height   y    -5.58 ..   +50.08   =   55.66 m   above water 50.08 m
  model breadth  z         ..   +12.49   =   24.98 m   (record beam 7.6)   Δ +17.38 m

  part                        u fore   u aft   len m      y0      y1   half
  Stays and backstays         -0.323   0.939   49.98    0.94   50.08   5.15
  Sail                        -0.322   1.194   60.04    2.80   38.88  12.49
  Bowsprit                    -0.312  -0.095    8.62    2.69    5.11   0.22
  Bobstay                     -0.298  -0.088    8.34    0.27    4.95   0.18
  Head and beakhead           -0.141   0.035    6.98    0.17    3.37   1.83
  Stem                        -0.120   0.109    9.08   -3.50    3.18   0.41
  Planking                    -0.116   1.071   47.00   -5.58    4.33   4.06
  Deck                        -0.112   1.067   46.70    0.62    4.33   3.78
  Rail                        -0.053   1.020   42.48    0.72    4.25   3.81
  Waterway                    -0.052   1.020   42.46    0.71    4.08   3.77
  Wales                       -0.030   1.014   41.32   -1.11    2.42   3.90
  Braces                      -0.009   0.432   17.46    1.72   38.40  12.46
  Sheets                      -0.005   0.339   13.63    1.12   32.08  12.27
  Lifts                       -0.003   0.233    9.36   17.98   45.58  12.17
  Keel                        -0.002   1.002   39.72   -5.44   -1.10   0.31
  Yard                         0.007   0.222    8.52   17.94   37.93  11.44
  Tacks                        0.014   0.215    7.96    2.00    7.55  11.03
  Bower anchor                 0.019   0.171    6.02   -0.52    4.33   4.50
  Cathead                      0.022   0.061    1.54    2.07    2.90   2.69
  Cat pendant                  0.025   0.027    0.06    2.40    2.68   2.61
  Halyard                      0.072   0.275    8.03    1.90   49.66   4.62
  Top                          0.072   0.148    2.98   26.70   27.34   1.53
  Shrouds                      0.085   0.928   33.35    1.70   31.40   4.87
  Channels                     0.086   0.161    2.97    2.06    2.32   2.90
  Mast                         0.088   0.915   32.75    1.98   49.33   1.17
  Ratlines                     0.089   0.156    2.65    2.46   25.36   3.34
  Topmast shrouds              0.089   0.132    1.70   27.07   42.66   1.80
  Topmast ratlines             0.091   0.129    1.53   27.38   40.44   1.69
  Futtock shrouds              0.095   0.125    1.18   23.58   27.21   1.42
  Deadeyes                     0.097   0.149    2.05    2.16    2.46   2.99
  Topgallant shrouds           0.097   0.111    0.55   42.57   48.95   0.79
  Crosstrees                   0.098   0.111    0.48   42.45   42.66   0.75
  Cheeks                       0.105   0.119    0.59   24.41   26.78   0.32
  Deckhouse                    0.158   0.682   20.78    1.32    4.62   1.84
  Grating                      0.271   0.729   18.12    1.89    2.35   1.63
  Ship's boat                  0.368   0.545    6.98    1.67    4.24   1.06
  Boat skids                   0.406   0.514    4.28    1.90    2.26   1.49
  Gaff                         0.519   1.051   21.07   23.85   32.22   0.26
  Boom                         0.520   1.179   26.09    4.55    5.67   0.14
  Capstan                      0.555   0.685    5.18    1.96    3.22   2.59
  Sternpost                    0.891   1.076    7.30   -3.42    2.67   0.39
  The wheel                    0.939   0.964    0.99    2.30    3.49   0.41
  Rudder                       0.997   1.058    2.41   -3.93    0.94   0.38
