Roman merchantman   record: LOA 40 m  LWL 35 m  beam 9 m  draught 3.4 m
  model extent   x   -24.76 ..   +20.47   =   45.23 m   (record LOA 40)   Δ +5.23 m
  model height   y    -3.61 ..   +16.06   =   19.67 m   above water 16.06 m
  model breadth  z         ..    +6.00   =   12.00 m   (record beam 9)   Δ +3.00 m

  part                        u fore   u aft   len m      y0      y1   half
  Bowsprit                    -0.207  -0.049    5.56    3.03    4.54   0.18
  Sail                        -0.101   0.499   21.03    4.30   14.68   6.00
  Yard                        -0.081   0.500   20.32    8.77   14.79   5.66
  Lifts                       -0.079   0.497   20.19    8.81   16.06   5.63
  Braces                      -0.079   0.701   27.29    2.70   14.69   5.64
  Tacks                       -0.078   0.495   20.06    2.57    4.54   5.42
  Sheets                      -0.078   0.610   24.09    2.50    4.54   5.42
  Mast                        -0.068   0.448   18.05    2.40   16.04   0.27
  Karchesion                  -0.068   0.447   18.02    9.09   16.04   0.33
  Halyard                     -0.066   0.490   19.47    2.50   16.05   0.02
  Stem                        -0.062   0.105    5.84   -2.46    3.30   0.25
  Stays and backstays         -0.061   0.641   24.55    2.38   15.52   4.02
  Planking                    -0.057   1.080   39.80   -3.40    3.30   4.49
  Weather deck — laid planki  -0.057   1.080   39.80    2.40    3.31   4.14
  Rail                        -0.010   1.029   36.37    2.40    3.36   4.18
  Waterway                    -0.010   1.029   36.37    2.39    3.17   4.14
  Wales                       -0.009   1.018   35.95    0.13    1.30   4.56
  Keel                         0.000   1.000   35.00   -3.61   -1.28   0.25
  Bower anchor                 0.031   0.151    4.21   -1.37    4.18   4.28
  Grating                      0.271   0.729   16.04    2.39    2.68   1.82
  Ship's boat                  0.370   0.543    6.07    2.31    4.28   0.88
  Channels                     0.403   0.477    2.62    2.18    2.29   4.62
  Boat skids                   0.405   0.515    3.84    2.37    2.57   1.31
  Deadeyes                     0.422   0.458    1.24    2.22    2.54   4.71
  Shrouds                      0.425   0.455    1.02    2.39   15.64   4.40
  Ratlines                     0.427   0.453    0.94    2.71   13.65   4.29
  The corbis                   0.429   0.451    0.74   14.96   16.06   0.98
  Capstan                      0.533   0.707    6.12    2.41    3.77   3.06
  Sternpost                    0.895   1.085    6.64   -2.45    2.90   0.25
  Port quarter rudder          0.948   1.016    2.38   -3.13    4.38  -0.34
  Starboard quarter rudder     0.948   1.016    2.38   -3.13    4.38   1.89
