Fluyt   record: LOA 32 m  LWL 27.5 m  beam 6.6 m  draught 3.1 m
  model extent   x   -21.26 ..   +17.41   =   38.67 m   (record LOA 32)   Δ +6.67 m
  model height   y    -3.29 ..   +32.72   =   36.01 m   above water 32.72 m
  model breadth  z         ..    +7.65   =   15.30 m   (record beam 6.6)   Δ +8.70 m

  part                        u fore   u aft   len m      y0      y1   half
  Bowsprit                    -0.273  -0.068    5.63    3.95    6.65   0.13
  Head and beakhead           -0.111   0.051    4.43    0.44    4.54   1.50
  Stem                        -0.087   0.105    5.30   -2.69    4.20   0.18
  Planking                    -0.081   1.058   31.34   -3.10    4.20   3.30
  Weather deck — laid planki  -0.081   1.058   31.34    3.00    4.21   2.39
  Sail                        -0.074   1.133   33.20    3.63   32.08   7.65
  Rail                        -0.027   1.009   28.51    3.00    4.15   2.42
  Waterway                    -0.027   1.009   28.51    2.99    4.01   2.39
  Wales                       -0.018   1.009   28.26    0.16    1.66   3.29
  Yard                        -0.012   0.660   18.47   12.72   32.14   7.22
  Lifts                       -0.008   0.656   18.24   12.85   32.72   7.19
  Sheets                      -0.008   0.727   20.19    3.16   27.64   7.18
  Braces                      -0.008   0.817   22.67    3.34   32.08   7.19
  Tacks                       -0.004   0.652   18.04    3.08    6.33   6.90
  Keel                         0.000   1.000   27.50   -3.29   -2.10   0.18
  Top                          0.020   0.614   16.32   17.20   18.71   1.32
  Bower anchor                 0.024   0.181    4.32    1.36    4.73   3.46
  Stays and backstays          0.029   0.757   20.02    3.07   32.51   2.39
  Cathead                      0.029   0.077    1.32    3.27    3.92   2.25
  Cat pendant                  0.032   0.034    0.04    3.55    3.78   2.18
  Channels                     0.050   0.593   14.94    2.76    3.37   2.76
  Mast                         0.051   0.867   22.45    3.00   32.71   0.20
  Crosstrees                   0.051   0.580   14.55   26.14   28.47   0.65
  Halyard                      0.053   0.636   16.05    3.09   32.71   2.29
  Futtock shrouds              0.053   0.582   14.55   15.57   18.66   1.15
  Topgallant shrouds           0.053   0.576   14.38   26.24   32.45   0.52
  Topmast shrouds              0.057   0.580   14.36   17.56   28.43   1.14
  Topmast ratlines             0.058   0.579   14.32   17.87   26.94   1.11
  Cheeks                       0.063   0.573   14.05   15.88   18.37   0.24
  Deadeyes                     0.066   0.583   14.21    2.78    3.56   2.83
  Shrouds                      0.066   0.901   22.96    3.00   19.88   2.54
  Ratlines                     0.068   0.574   13.93    3.31   17.22   2.49
  Jeers                        0.069   0.577   13.96    3.08   17.96   0.37
  Grating                      0.271   0.729   12.60    2.99    3.25   1.05
  Ship's boat                  0.370   0.543    4.77    2.93    4.67   0.69
  Boat skids                   0.405   0.515    3.00    2.98    3.13   1.03
  Capstan                      0.539   0.701    4.48    3.02    4.01   2.24
  Lateen yard                  0.744   1.097    9.70    3.57   17.91   0.10
  Sternpost                    0.895   1.064    4.66   -2.74    3.90   0.18
  Rudder                       1.000   1.055    1.51   -2.85    1.37   0.20
  Taffrail                     1.056   1.061    0.14    3.90    4.45   2.07
  Transom                      1.057   1.061    0.09    1.59    2.70   1.65
  Stern lights                 1.058   1.061    0.09    1.83    2.46   1.23
