Galleass   record: LOA 47 m  LWL 44 m  beam 8 m  draught 2.6 m
  model extent   x   -28.98 ..   +25.42   =   54.40 m   (record LOA 47)   Δ +7.40 m
  model height   y    -2.76 ..   +34.46   =   37.22 m   above water 34.46 m
  model breadth  z         ..   +13.97   =   27.94 m   (record beam 8)   Δ +19.94 m

  part                        u fore   u aft   len m      y0      y1   half
  Spur shoe                   -0.159  -0.140    0.82    2.40    2.75   0.14
  Spur                        -0.143  -0.003    6.17    1.63    3.03   0.48
  Cheek knee                  -0.046   0.008    2.38    2.10    2.57   0.86
  Stem                        -0.046   0.103    6.54   -2.28    3.40   0.22
  Planking                    -0.043   1.075   49.17   -2.60    3.75   4.00
  Weather deck — laid planki  -0.043   1.075   49.17    2.80    3.76   3.68
  Lateen yard                 -0.027   1.052   47.44    3.24   34.46   0.09
  Fortress post               -0.014   0.162    7.76    2.94    5.21   4.64
  Wales                       -0.003   1.015   44.81    0.15    1.48   4.05
  Keel                         0.000   1.000   44.00   -2.76   -1.16   0.22
  Rail                         0.006   1.020   44.60    2.80    3.78   3.72
  Waterway                     0.006   1.020   44.60    2.79    3.61   3.68
  Parapet                      0.007   0.160    6.71    5.24    6.34   4.67
  Gun port                     0.014   0.077    2.78    5.41    5.99   3.81
  Courser                      0.014   0.132    5.20    5.20    6.13   0.36
  Bow fortress                 0.020   0.160    6.16    5.18    5.18   4.58
  Flanking piece               0.028   0.124    4.26    5.21    5.78   3.62
  Sail                         0.045   1.050   44.23    3.30   34.40   2.65
  Oars                         0.089   0.881   34.84    2.57    4.85  13.97
  Shrouds                      0.115   0.816   30.86    2.80   21.24   3.92
  Mast                         0.132   0.805   29.60    2.80   13.17   0.26
  Rowing bench                 0.156   0.874   31.57    3.33    3.44   4.39
  Stanchion                    0.158   0.862   30.96    3.72    4.82   4.46
  Rowing frame                 0.160   0.860   30.80    3.56    3.88   4.52
  Corsia                       0.160   0.860   30.80    2.80    3.49   0.68
  Gun deck                     0.160   0.860   30.80    4.94    5.06   4.58
  Deck clamp                   0.160   0.860   30.80    4.69    4.94   4.50
  Screen                       0.160   0.860   30.80    5.06    5.39   4.58
  Crossbeam                    0.166   0.863   30.67    3.54    3.70   4.52
  Broadside piece              0.199   0.821   27.38    5.03    5.60   5.25
  Grating                      0.271   0.729   20.12    2.79    3.06   1.62
  Ship's boat                  0.370   0.543    7.63    2.69    4.93   1.10
  Boat skids                   0.406   0.514    4.72    2.80    2.98   1.65
  Capstan                      0.558   0.682    5.44    2.82    4.03   2.72
  Stern chaser                 0.807   0.883    3.36    5.03    5.60   1.18
  Sternpost                    0.897   1.078    7.95   -2.11    3.75   0.22
  Tent post                    0.897   1.052    6.80    3.24    5.27   0.06
  Stern awning                 0.899   1.051    6.69    3.24    5.27   2.04
  Ridgepole                    0.899   1.051    6.70    4.78    5.34   0.06
  Rudder                       1.000   1.056    2.48   -2.39    1.31   0.24
