Panokseon   record: LOA 32 m  LWL 30 m  beam 9.4 m  draught 1.8 m
  model extent   x   -18.21 ..   +18.21   =   36.42 m   (record LOA 32)   Δ +4.42 m
  model height   y    -2.25 ..   +17.00   =   19.25 m   above water 17.00 m
  model breadth  z         ..    +8.25   =   16.50 m   (record beam 9.4)   Δ +7.10 m

  part                        u fore   u aft   len m      y0      y1   half
  Bow transom                 -0.107   0.002    3.27   -1.27    2.89   1.62
  Planking                    -0.107   1.107   36.40   -1.80    2.90   4.70
  Weather deck — laid planki  -0.107   1.107   36.40    2.00    2.96   4.70
  Rail                        -0.047   1.045   32.75    2.00    2.98   4.75
  Waterway                    -0.047   1.045   32.75    1.99    2.77   4.70
  Wales                       -0.027   1.027   31.63    0.11    1.14   4.78
  Keel                         0.000   1.000   30.00   -1.92   -1.25   0.26
  Masthead sheave              0.095   0.451   10.68   12.34   16.63   0.29
  Mast                         0.096   0.449   10.60    2.00   17.00   0.28
  Sail                         0.106   0.708   18.04    3.80   16.42   4.80
  Yard                         0.109   0.515   12.16    8.40   16.44   1.28
  Boom                         0.110   0.706   17.87    3.75    4.15   4.49
  Batten 4                     0.110   0.690   17.40    6.85   11.76   4.21
  Batten 5                     0.110   0.677   17.00    7.62   13.97   3.99
  Batten 1                     0.110   0.705   17.85    4.54    5.70   4.47
  Batten 2                     0.110   0.703   17.79    5.31    7.57   4.44
  Batten 3                     0.110   0.699   17.65    6.08    9.61   4.36
  Oars                         0.118   0.937   24.57   -0.71    4.25   8.25
  Halyard                      0.121   0.466   10.34    2.11   16.48   0.69
  Stanchion                    0.137   0.886   22.46    1.98    3.62   5.10
  End bulwark                  0.139   0.885   22.38    3.67    4.87   3.87
  Deck clamp                   0.139   0.884   22.33    3.28    3.61   5.20
  Bulwark                      0.139   0.884   22.33    3.66    4.87   5.21
  Sangjang                     0.140   0.883   22.27    3.60    3.60   5.20
  Sangjang wall                0.140   0.883   22.27    1.91    3.45   4.96
  Oar-deck end wall, forward   0.140   0.140    0.00    2.21    3.45   3.68
  Oar-deck port                0.156   0.866   21.29    2.76    3.30   5.00
  Sheets                       0.189   0.705   15.50    2.10   13.96   4.46
  Deck piece                   0.210   0.810   18.02    3.64    4.32   5.60
  Grating                      0.270   0.730   13.78    1.99    2.29   2.06
  Ship's boat                  0.370   0.543    5.20    1.92    3.74   0.75
  Boat skids                   0.404   0.516    3.34    1.96    2.17   1.13
  Iron mast straps             0.431   0.449    0.56    4.86   13.55   0.27
  Commander's tower            0.492   0.748    7.70    3.67    9.13   3.85
  Capstan                      0.513   0.727    6.40    2.02    3.43   3.20
  Oar-deck end wall, aft       0.883   0.883    0.00    2.22    3.45   3.68
  Stern transom                0.998   1.107    3.27   -1.30    2.79   1.99
  Rudder                       1.002   1.104    3.06   -2.25    1.68   0.28
