Slave ship   record: LOA 30 m  LWL 26 m  beam 8 m  draught 3.6 m
  model extent   x   -20.43 ..   +14.78   =   35.21 m   (record LOA 30)   Δ +5.21 m
  model height   y    -3.82 ..   +31.47   =   35.29 m   above water 31.47 m
  model breadth  z         ..    +7.33   =   14.66 m   (record beam 8)   Δ +6.66 m

  part                        u fore   u aft   len m      y0      y1   half
  Bowsprit                    -0.286  -0.077    5.42    3.92    6.36   0.16
  Head and beakhead           -0.121   0.046    4.35    0.44    4.58   1.66
  Stem                        -0.099   0.107    5.36   -3.03    4.20   0.22
  Planking                    -0.092   1.062   30.00   -3.60    4.20   4.00
  Weather deck — laid planki  -0.092   1.062   30.00    3.00    4.21   3.48
  Sail                        -0.080   0.979   27.54    5.42   30.86   7.33
  Rail                        -0.036   1.013   27.27    3.00    4.18   3.52
  Waterway                    -0.036   1.013   27.27    2.99    4.01   3.48
  Wales                       -0.022   1.011   26.85    0.16    1.66   4.03
  Yard                        -0.017   0.979   25.89   11.68   30.91   6.92
  Lifts                       -0.013   0.977   25.74   11.78   31.47   6.89
  Sheets                      -0.013   0.977   25.74    3.15   26.61   6.88
  Braces                      -0.013   0.977   25.73    3.33   30.86   6.89
  Tacks                       -0.009   0.966   25.35    3.09    6.24   6.61
  Keel                         0.000   1.000   26.00   -3.82   -2.22   0.22
  Top                          0.003   0.964   24.98   15.72   18.07   1.60
  Bower anchor                 0.006   0.168    4.20    1.42    4.66   3.82
  Cathead                      0.012   0.074    1.60    3.19    3.99   2.68
  Cat pendant                  0.017   0.018    0.05    3.53    3.81   2.58
  Stays and backstays          0.029   0.961   24.24    2.99   31.27   3.31
  Futtock shrouds              0.043   0.921   22.82   14.29   18.00   1.39
  Crosstrees                   0.044   0.931   23.05   24.04   27.41   0.78
  Mast                         0.045   0.933   23.09    3.00   31.46   0.24
  Channels                     0.047   0.902   22.25    2.75    3.38   3.92
  Topmast shrouds              0.047   0.922   22.76   16.15   27.36   1.38
  Topmast ratlines             0.048   0.920   22.67   16.46   25.95   1.34
  Halyard                      0.048   0.936   23.08    3.10   31.46   3.30
  Topgallant shrouds           0.049   0.931   22.93   24.16   31.21   0.63
  Deadeyes                     0.050   0.893   21.92    2.78    3.60   4.01
  Cheeks                       0.057   0.905   22.04   14.50   17.65   0.29
  Shrouds                      0.062   0.905   21.91    2.99   19.17   3.71
  Ratlines                     0.063   0.901   21.77    3.31   16.89   3.64
  Jeers                        0.065   0.577   13.30    3.10   17.33   0.37
  Grating                      0.270   0.730   11.94    2.99    3.28   1.53
  Ship's boat                  0.372   0.542    4.42    2.93    4.63   0.65
  Boat skids                   0.404   0.516    2.90    2.97    3.14   0.98
  Capstan                      0.515   0.725    5.44    3.02    4.22   2.72
  Sternpost                    0.893   1.068    4.56   -3.09    3.60   0.22
  Rudder                       1.000   1.055    1.43   -3.31    1.26   0.24
