Wyoming   record: LOA 106.7 m  LWL 100.4 m  beam 15.3 m  draught 9.3 m
  model extent   x   -70.32 ..   +57.42   =  127.74 m   (record LOA 106.7)   Δ +21.04 m
  model height   y    -9.83 ..   +51.66   =   61.49 m   above water 51.66 m
  model breadth  z         ..    +7.89   =   15.78 m   (record beam 15.3)   Δ +0.48 m

  part                        u fore   u aft   len m      y0      y1   half
  Bowsprit                    -0.200  -0.032   16.92    5.15    8.71   0.31
  Stays and backstays         -0.193   0.135   32.97    5.73   48.19   0.03
  Sail                        -0.193   1.072  127.01    5.75   50.96   2.11
  Bobstay                     -0.188  -0.028   16.13    0.46    8.06   0.04
  Stem                        -0.044   0.105   14.91   -8.47    5.60   0.42
  Planking                    -0.039   1.024  106.70   -9.30    5.60   7.65
  Weather deck — laid planki  -0.039   1.024  106.70    4.20    5.63   7.42
  Wales                       -0.002   0.997  100.27    0.22    2.22   7.77
  Keel                         0.000   1.000  100.40   -9.83   -6.50   0.42
  Rail                         0.007   0.983   97.93    4.20    5.73   7.50
  Waterway                     0.007   0.983   97.93    4.19    5.38   7.42
  Bower anchor                 0.063   0.144    8.07    0.67    6.82   7.81
  Cathead                      0.066   0.097    3.05    4.10    5.62   5.64
  Cat pendant                  0.069   0.069    0.05    4.75    5.29   5.44
  Shrouds                      0.121   0.879   76.14    4.20   37.26   7.89
  Mast                         0.130   0.870   74.22    4.20   51.66   0.46
  Gaff                         0.134   0.980   84.97   32.87   41.69   0.18
  Boom                         0.135   1.072   94.08    7.65    8.68   0.24
  Deckhouse                    0.153   0.947   79.68    3.87    7.15   4.49
  Grating                      0.272   0.728   45.88    4.18    4.67   3.25
  Ship's boat                  0.372   0.542   17.07    3.95    7.92   2.51
  Boat skids                   0.407   0.513   10.70    4.24    4.57   3.77
  Capstan                      0.568   0.672   10.40    4.22    6.53   5.20
  Sternpost                    0.895   1.028   13.34   -8.38    5.10   0.42
  The wheel                    0.962   0.974    1.28    4.92    6.46   0.53
  Rudder                       1.000   1.055    5.52   -8.56    1.78   0.46
