East Indiaman   record: LOA 50 m  LWL 43 m  beam 12.4 m  draught 5.6 m
  model extent   x   -34.88 ..   +24.92   =   59.80 m   (record LOA 50)   Δ +9.80 m
  model height   y    -5.93 ..   +50.04   =   55.97 m   above water 50.04 m
  model breadth  z         ..   +11.70   =   23.40 m   (record beam 12.4)   Δ +11.00 m

  part                        u fore   u aft   len m      y0      y1   half
  Bowsprit                    -0.311  -0.084    9.76    5.80   10.12   0.25
  Head and beakhead           -0.145   0.043    8.05    0.65    6.85   2.79
  Stem                        -0.107   0.107    9.17   -4.77    6.20   0.34
  Planking                    -0.100   1.063   50.00   -5.60    6.20   6.20
  Weather deck — laid planki  -0.100   1.063   50.00    4.60    6.22   5.28
  Sail                        -0.077   0.976   45.26    8.47   49.06  11.70
  Rail                        -0.042   1.014   45.38    4.60    6.22   5.34
  Waterway                    -0.042   1.014   45.38    4.59    5.94   5.28
  Wales                       -0.025   1.011   44.55    0.24    2.45   6.24
  Yard                        -0.016   0.976   42.63   18.44   49.16  11.04
  Lifts                       -0.012   0.973   42.37   18.60   50.04  10.99
  Sheets                      -0.012   0.973   42.36    4.83   42.27  10.98
  Braces                      -0.012   0.973   42.36    5.12   49.07  10.99
  Tacks                       -0.009   0.962   41.75    4.75    9.47  10.55
  Keel                         0.000   1.000   43.00   -5.93   -3.57   0.34
  Top                          0.005   0.959   41.02   24.90   28.65   2.48
  Bower anchor                 0.007   0.167    6.89    1.85    7.20   6.14
  Cathead                      0.013   0.070    2.47    4.76    5.99   4.25
  Cat pendant                  0.017   0.018    0.05    5.29    5.72   4.09
  Stays and backstays          0.029   0.961   40.05    4.59   49.71   5.05
  Futtock shrouds              0.042   0.921   37.79   22.61   28.54   2.14
  Deadeyes                     0.043   0.897   36.75    4.26    5.42   6.09
  Crosstrees                   0.043   0.929   38.07   38.17   43.57   1.21
  Topmast shrouds              0.043   0.920   37.71   25.57   43.48   2.13
  Channels                     0.044   0.903   36.92    4.21    5.08   5.96
  Topmast ratlines             0.044   0.919   37.64   25.88   41.12   2.09
  Mast                         0.044   0.931   38.15    4.60   50.02   0.37
  Halyard                      0.047   0.933   38.12    4.76   50.02   5.01
  Topgallant shrouds           0.047   0.929   37.89   38.36   49.63   0.96
  Cheeks                       0.055   0.903   36.47   22.95   28.00   0.45
  Woolding hoops               0.060   0.571   22.01    9.45   23.68   0.38
  Wooldings                    0.060   0.571   21.99    9.54   23.59   0.37
  Shrouds                      0.060   0.903   36.27    4.59   30.40   5.61
  Ratlines                     0.060   0.900   36.09    4.91   26.75   5.54
  Jeers                        0.063   0.577   22.07    4.75   27.47   0.55
  Great guns                   0.123   0.678   23.88    1.00    1.60   7.81
  Grating                      0.271   0.729   19.72    4.59    5.01   2.31
  Ship's boat                  0.373   0.543    7.31    4.49    6.71   1.08
  Boat skids                   0.405   0.515    4.76    4.55    4.83   1.61
  Capstan                      0.522   0.718    8.44    4.62    6.49   4.22
  Sternpost                    0.893   1.069    7.55   -4.85    5.50   0.34
  Rudder                       1.000   1.055    2.36   -5.15    1.92   0.37
  Quarter galleries            1.047   1.080    1.42    1.65    4.99   4.08
  Taffrail                     1.059   1.066    0.28    5.50    6.54   3.54
  Transom                      1.062   1.066    0.18    1.51    4.76   3.12
  Stern lights                 1.063   1.067    0.17    1.87    4.40   2.36
