Fluyt   record: LOA 32 m  LWL 27.5 m  beam 6.6 m  draught 3.1 m
  model extent   x   -21.59 ..   +17.47   =   39.06 m   (record LOA 32)   Δ +7.06 m
  model height   y    -3.29 ..   +32.72   =   36.01 m   above water 32.72 m
  model breadth  z         ..    +7.65   =   15.30 m   (record beam 6.6)   Δ +8.70 m

  part                        u fore   u aft   len m      y0      y1   half
  Bowsprit                    -0.285  -0.080    5.63    3.95    6.65   0.13
  Head and beakhead           -0.124   0.044    4.63    0.44    4.56   1.50
  Stem                        -0.101   0.105    5.68   -2.69    4.20   0.18
  Planking                    -0.095   1.068   32.00   -3.10    4.20   3.30
  Weather deck — laid planki  -0.095   1.068   32.00    3.00    4.21   2.39
  Sail                        -0.079   1.135   33.39    3.63   32.08   7.65
  Rail                        -0.038   1.017   29.02    3.00    4.15   2.42
  Waterway                    -0.038   1.017   29.02    2.99    4.01   2.39
  Wales                       -0.023   1.013   28.50    0.16    1.66   3.29
  Yard                        -0.016   0.660   18.60   12.72   32.14   7.22
  Lifts                       -0.013   0.656   18.38   12.85   32.72   7.19
  Sheets                      -0.012   0.727   20.32    3.16   27.64   7.18
  Braces                      -0.012   0.817   22.80    3.34   32.08   7.19
  Tacks                       -0.009   0.652   18.18    3.08    6.33   6.90
  Keel                         0.000   1.000   27.50   -3.29   -2.10   0.18
  Top                          0.015   0.614   16.46   17.20   18.71   1.32
  Bower anchor                 0.019   0.176    4.32    1.37    4.74   3.46
  Cathead                      0.024   0.072    1.32    3.27    3.92   2.25
  Cat pendant                  0.027   0.028    0.04    3.55    3.78   2.18
  Stays and backstays          0.029   0.757   20.02    3.07   32.51   2.39
  Mast                         0.045   0.869   22.65    3.00   32.71   0.20
  Channels                     0.046   0.593   15.06    2.76    3.37   2.76
  Crosstrees                   0.046   0.580   14.68   26.14   28.47   0.65
  Halyard                      0.048   0.636   16.18    3.09   32.71   2.29
  Topgallant shrouds           0.048   0.576   14.52   26.24   32.45   0.52
  Futtock shrouds              0.048   0.582   14.68   15.57   18.66   1.15
  Topmast shrouds              0.052   0.580   14.50   17.56   28.43   1.14
  Topmast ratlines             0.053   0.579   14.45   17.87   26.94   1.11
  Cheeks                       0.058   0.573   14.18   15.88   18.37   0.24
  Deadeyes                     0.061   0.583   14.34    2.78    3.56   2.83
  Shrouds                      0.061   0.903   23.15    3.00   19.88   2.54
  Ratlines                     0.063   0.574   14.07    3.31   17.22   2.49
  Jeers                        0.064   0.577   14.09    3.08   17.96   0.37
  Grating                      0.271   0.729   12.58    2.99    3.25   1.04
  Ship's boat                  0.372   0.543    4.68    2.93    4.67   0.69
  Boat skids                   0.405   0.515    3.00    2.98    3.13   1.03
  Capstan                      0.539   0.701    4.48    3.02    4.01   2.24
  Lateen yard                  0.746   1.099    9.70    3.57   17.91   0.10
  Sternpost                    0.895   1.074    4.93   -2.74    3.90   0.18
  Rudder                       1.000   1.055    1.51   -2.85    1.37   0.20
  Taffrail                     1.065   1.071    0.15    3.90    4.45   2.07
  Transom                      1.068   1.071    0.09    1.59    2.70   1.65
  Stern lights                 1.068   1.072    0.09    1.83    2.46   1.23
