Galleass   record: LOA 47 m  LWL 44 m  beam 8 m  draught 2.6 m
  model extent   x   -28.21 ..   +24.42   =   52.63 m   (record LOA 47)   Δ +5.63 m
  model height   y    -2.76 ..   +34.46   =   37.22 m   above water 34.46 m
  model breadth  z         ..   +13.97   =   27.94 m   (record beam 8)   Δ +19.94 m

  part                        u fore   u aft   len m      y0      y1   half
  Spur shoe                   -0.141  -0.123    0.82    2.40    2.75   0.14
  Spur                        -0.125   0.015    6.17    1.63    3.03   0.48
  Cheek knee                  -0.029   0.018    2.05    2.10    2.57   0.87
  Stem                        -0.028   0.103    5.75   -2.28    3.40   0.22
  Lateen yard                 -0.025   1.051   47.33    3.24   34.46   0.09
  Planking                    -0.025   1.043   47.00   -2.60    3.75   4.00
  Weather deck — laid planki  -0.025   1.043   47.00    2.80    3.76   3.68
  Fortress post               -0.000   0.162    7.14    2.94    5.20   4.64
  Keel                         0.000   1.000   44.00   -2.76   -1.16   0.22
  Wales                        0.003   1.004   44.03    0.15    1.48   4.05
  Parapet                      0.007   0.160    6.71    5.24    6.34   4.67
  Gun port                     0.014   0.077    2.78    5.41    5.99   3.81
  Courser                      0.014   0.132    5.20    5.20    6.13   0.36
  Rail                         0.018   0.997   43.05    2.80    3.78   3.72
  Waterway                     0.018   0.997   43.05    2.79    3.61   3.68
  Bow fortress                 0.020   0.160    6.16    5.18    5.18   4.58
  Flanking piece               0.028   0.124    4.26    5.21    5.78   3.62
  Sail                         0.045   1.049   44.19    3.30   34.40   2.65
  Oars                         0.089   0.880   34.79    2.57    4.85  13.97
  Shrouds                      0.117   0.815   30.75    2.80   21.24   3.92
  Mast                         0.134   0.804   29.50    2.80   13.17   0.26
  Rowing bench                 0.157   0.869   31.34    3.33    3.44   4.31
  Stanchion                    0.158   0.862   30.96    3.72    4.82   4.46
  Rowing frame                 0.160   0.860   30.80    3.56    3.88   4.52
  Banda                        0.160   0.860   30.80    3.20    3.33   4.08
  Corsia                       0.160   0.860   30.80    2.80    3.49   0.68
  Gun deck                     0.160   0.860   30.80    4.94    5.06   4.58
  Deck clamp                   0.160   0.860   30.80    4.69    4.94   4.50
  Screen                       0.160   0.860   30.80    5.06    5.39   4.58
  Baccalaro                    0.164   0.862   30.69    2.64    3.70   4.65
  Thole                        0.166   0.857   30.41    3.80    4.24   4.44
  Pedagna                      0.175   0.878   30.93    2.76    2.97   2.88
  Broadside piece              0.199   0.821   27.38    5.03    5.60   5.25
  Grating                      0.271   0.729   20.12    2.79    3.06   1.62
  Ship's boat                  0.372   0.542    7.48    2.69    4.93   1.10
  Boat skids                   0.406   0.514    4.72    2.80    2.98   1.65
  Capstan                      0.558   0.682    5.44    2.82    4.03   2.72
  Stern chaser                 0.807   0.883    3.36    5.03    5.60   1.18
  Tent post                    0.890   1.024    5.93    3.24    5.27   0.06
  Ridgepole                    0.891   1.023    5.83    4.78    5.34   0.06
  Stern awning                 0.891   1.023    5.82    3.24    5.27   2.04
  Sternpost                    0.897   1.046    6.57   -2.11    3.75   0.22
  Rudder                       1.000   1.055    2.42   -2.39    1.31   0.24
