Panokseon   record: LOA 32 m  LWL 30 m  beam 9.4 m  draught 1.8 m
  model extent   x   -16.04 ..   +17.62   =   33.66 m   (record LOA 32)   Δ +1.66 m
  model height   y    -2.25 ..   +17.00   =   19.25 m   above water 17.00 m
  model breadth  z         ..    +8.25   =   16.50 m   (record beam 9.4)   Δ +7.10 m

  part                        u fore   u aft   len m      y0      y1   half
  Bow transom                 -0.035   0.002    1.10   -1.27    2.89   1.62
  Planking                    -0.033   1.033   31.98   -1.80    2.90   4.70
  Weather deck — laid planki  -0.033   1.033   31.98    2.00    2.96   4.70
  Wales                       -0.000   1.000   30.01    0.11    1.14   4.78
  Keel                         0.000   1.000   30.00   -1.92   -1.25   0.26
  Rail                         0.010   0.990   29.40    2.00    2.98   4.75
  Waterway                     0.010   0.990   29.40    1.99    2.77   4.70
  Masthead sheave              0.111   0.451   10.20   12.34   16.63   0.29
  Mast                         0.112   0.449   10.12    2.00   17.00   0.28
  Sail                         0.122   0.708   17.57    3.80   16.42   4.80
  Yard                         0.125   0.515   11.69    8.40   16.44   1.28
  Boom                         0.126   0.706   17.39    3.75    4.15   4.49
  Batten 2                     0.126   0.703   17.32    5.31    7.57   4.44
  Batten 3                     0.126   0.699   17.18    6.08    9.61   4.36
  Batten 4                     0.126   0.690   16.92    6.85   11.76   4.21
  Batten 5                     0.126   0.677   16.52    7.62   13.97   3.99
  Batten 1                     0.126   0.705   17.37    4.54    5.70   4.47
  Oars                         0.126   0.931   24.14   -0.71    4.25   8.25
  Halyard                      0.137   0.466    9.86    2.11   16.48   0.69
  Stanchion                    0.151   0.870   21.59    1.98    3.62   5.10
  End bulwark                  0.152   0.869   21.51    3.67    4.87   3.87
  Deck clamp                   0.153   0.868   21.47    3.28    3.62   5.20
  Sangjang                     0.154   0.867   21.39    3.60    3.60   5.20
  Sangjang belt                0.154   0.867   21.39    1.91    3.45   4.96
  Oar-deck end wall, forward   0.154   0.154    0.00    2.21    3.45   3.68
  Bulwark                      0.154   0.867   21.39    3.67    4.87   5.20
  Oar-deck port                0.166   0.854   20.64    2.72    3.34   4.92
  Sheets                       0.189   0.705   15.50    2.10   13.96   4.46
  Gun port                     0.206   0.815   18.27    3.74    4.38   5.19
  Deck piece                   0.211   0.809   17.92    3.64    4.19   5.60
  Grating                      0.271   0.729   13.76    1.99    2.29   2.05
  Ship's boat                  0.372   0.542    5.10    1.92    3.74   0.75
  Boat skids                   0.404   0.516    3.34    1.96    2.17   1.13
  Iron mast straps             0.431   0.449    0.56    4.86   13.55   0.27
  Commander's tower            0.477   0.763    8.60    3.66    9.94   4.30
  Capstan                      0.513   0.727    6.40    2.02    3.43   3.20
  Oar-deck end wall, aft       0.867   0.867    0.00    2.22    3.45   3.68
  Stern transom                0.998   1.035    1.10   -1.30    2.79   1.99
  Rudder                       1.002   1.087    2.56   -2.25    1.68   0.28
