Sekibune   record: LOA 25 m  LWL 22.5 m  beam 5 m  draught 1.2 m
  model extent   x   -12.94 ..   +13.46   =   26.40 m   (record LOA 25)   Δ +1.40 m
  model height   y    -1.29 ..   +14.41   =   15.70 m   above water 14.41 m
  model breadth  z         ..    +5.72   =   11.44 m   (record beam 5)   Δ +6.44 m

  part                        u fore   u aft   len m      y0      y1   half
  Stem                        -0.075   0.103    4.00   -1.13    2.50   0.14
  Planking                    -0.072   1.039   25.00   -1.20    2.50   2.50
  Weather deck — laid planki  -0.072   1.039   25.00    1.40    2.50   2.50
  Oars                        -0.037   1.098   25.55   -0.68    3.84   5.46
  Rail                        -0.014   0.993   22.67    1.40    2.43   2.52
  Waterway                    -0.014   0.993   22.67    1.39    2.33   2.50
  Wales                       -0.014   1.002   22.86    0.07    0.98   2.55
  Keel                         0.000   1.000   22.50   -1.29   -0.93   0.14
  Stays and backstays          0.029   0.672   14.45    1.42   13.90   2.48
  Stanchion                    0.080   0.916   18.81    1.39    2.62   2.80
  End bulwark                  0.080   0.915   18.77    2.63    4.13   1.96
  Deck clamp                   0.081   0.914   18.75    2.43    2.61   2.85
  Sō-yagura                    0.082   0.913   18.71    2.60    2.60   2.85
  Maku                         0.082   0.913   18.71    1.55    2.52   2.80
  Tate-ita                     0.082   0.913   18.71    2.63    4.14   2.85
  Maku hem                     0.092   0.906   18.31    1.31    2.08   2.71
  Sama                         0.116   0.883   17.24    3.30    3.78   2.85
  Grating                      0.271   0.729   10.30    1.39    1.60   1.09
  Sail                         0.317   0.558    5.43    3.41   13.10   5.72
  Tacks                        0.319   0.552    5.23    1.51    3.43   5.16
  Yard                         0.381   0.559    4.01   12.99   13.21   5.40
  Lifts                        0.385   0.555    3.83   13.09   14.41   5.37
  Braces                       0.385   0.731    7.78    2.04   13.11   5.38
  Sheets                       0.388   0.641    5.68    1.47    3.43   5.16
  Top                          0.427   0.513    1.95   12.88   13.15   1.00
  Mast                         0.464   0.476    0.29    1.40   14.40   0.15
  Halyard                      0.469   0.520    1.15    1.46   14.40   0.01
  Yakata                       0.542   0.778    5.30    2.63    5.32   1.76
  Capstan                      0.544   0.696    3.40    1.42    2.17   1.70
  Sternpost                    0.897   1.042    3.25   -1.12    2.10   0.14
  Rudder                       1.000   1.055    1.24   -1.10    0.74   0.15
