Ship of the line   record: LOA 57 m  LWL 51 m  beam 14.6 m  draught 6.6 m
  model extent   x   -41.31 ..   +33.79   =   75.10 m   (record LOA 57)   Δ +18.10 m
  model height   y    -6.98 ..   +61.44   =   68.42 m   above water 61.44 m
  model breadth  z         ..   +14.44   =   28.88 m   (record beam 14.6)   Δ +14.28 m

  part                        u fore   u aft   len m      y0      y1   half
  Bowsprit                    -0.310  -0.065   12.51    6.73   12.24   0.29
  Stays and backstays         -0.299   0.961   64.23    5.39   61.04   6.01
  Sail                        -0.298   1.163   74.50    7.50   60.24  14.44
  Bobstay                     -0.292  -0.058   11.93    0.47   11.48   0.04
  Head and beakhead           -0.124   0.054    9.07    0.75    7.94   3.30
  Stem                        -0.085   0.106    9.76   -5.75    7.20   0.40
  Planking                    -0.078   1.039   57.00   -6.60    7.20   7.30
  Weather deck — laid planki  -0.078   1.039   57.00    5.40    7.23   6.29
  Rail                        -0.024   0.995   51.96    5.40    7.24   6.36
  Waterway                    -0.024   0.995   51.96    5.39    6.90   6.29
  Wales                       -0.017   1.003   51.98    0.28    2.85   7.36
  Yard                        -0.009   0.986   50.78   22.38   60.36  13.62
  Lifts                       -0.005   0.984   50.45   22.59   61.44  13.55
  Sheets                      -0.005   0.984   50.44    5.65   51.86  13.54
  Braces                      -0.005   0.984   50.43    6.04   60.25  13.55
  Tacks                       -0.002   0.965   49.29    5.57   11.25  13.01
  Keel                         0.000   1.000   51.00   -6.98   -4.35   0.40
  Top                          0.015   0.962   48.32   30.39   35.05   2.92
  Bower anchor                 0.019   0.171    7.77    2.25    8.25   7.13
  Cathead                      0.025   0.082    2.92    5.55    7.00   5.02
  Cat pendant                  0.029   0.030    0.05    6.17    6.68   4.83
  Deadeyes                     0.047   0.896   43.32    5.00    6.33   7.25
  Futtock shrouds              0.051   0.925   44.61   27.53   34.93   2.51
  Crosstrees                   0.053   0.938   45.14   46.73   53.46   1.43
  Topmast shrouds              0.053   0.929   44.69   31.17   53.36   2.51
  Mast                         0.053   0.943   45.38    5.40   61.43   0.44
  Topmast ratlines             0.054   0.928   44.59   31.48   50.81   2.46
  Channels                     0.054   0.896   42.92    4.95    5.93   7.10
  Halyard                      0.056   0.945   45.32    5.59   61.43   5.97
  Topgallant shrouds           0.056   0.940   45.06   46.94   60.94   1.13
  Cheeks                       0.065   0.906   42.88   27.98   34.29   0.53
  Woolding hoops               0.069   0.572   25.61   11.02   29.31   0.44
  Shrouds                      0.069   0.907   42.72    5.39   37.23   6.69
  Wooldings                    0.070   0.571   25.59   11.11   29.22   0.43
  Ratlines                     0.070   0.903   42.46    5.71   32.50   6.62
  Jeers                        0.073   0.576   25.68    5.58   33.61   0.64
  Great guns                   0.119   0.678   28.49    1.17    3.73   9.21
  Grating                      0.271   0.729   23.38    5.38    5.88   2.76
  Ship's boat                  0.372   0.542    8.67    5.27    7.73   1.27
  Boat skids                   0.405   0.515    5.64    5.34    5.67   1.91
  Capstan                      0.523   0.717    9.92    5.42    7.62   4.96
  Gaff                         0.856   1.039    9.29   21.05   27.82   0.18
  Boom                         0.858   1.163   15.51    8.60    9.05   0.23
  Sternpost                    0.894   1.046    7.76   -5.84    6.30   0.40
  Rudder                       1.000   1.055    2.81   -6.07    2.20   0.44
  Quarter galleries            1.023   1.056    1.67    1.89    5.72   4.82
  Taffrail                     1.036   1.042    0.32    6.30    7.52   4.20
  Transom                      1.038   1.042    0.20    1.72    5.46   3.68
  Stern lights                 1.039   1.043    0.20    2.14    5.04   2.76
