Yamato   record: LOA 263 m  LWL 256 m  beam 38.9 m  draught 11 m
  model extent   x  -132.20 ..  +131.37   =  263.57 m   (record LOA 263)   Δ +0.57 m
  model height   y   -11.63 ..   +49.60   =   61.23 m   above water 49.60 m
  model breadth  z         ..   +19.45   =   38.90 m   (record beam 38.9)   Δ +0.00 m

  part                        u fore   u aft   len m      y0      y1   half
  Planking                    -0.016   1.011  263.00  -11.00   11.20  19.45
  Weather deck — laid hinoki  -0.016   1.011  263.00    9.60   11.23  18.88
  Stem                        -0.016   0.104   30.90  -10.52   11.20   1.07
  Keel                         0.000   1.000  256.00  -11.63   -8.57   1.07
  Rail                         0.024   0.973  242.85    9.60   11.90  19.07
  Waterway                     0.024   0.973  242.85    9.59   10.94  18.88
  Main gun                     0.228   0.822  152.02   15.44   19.58  11.48
  Turret                       0.283   0.767  124.00   13.33   20.99  14.46
  Barbette                     0.292   0.758  119.42    9.11   17.49  14.36
  Turret rangefinder           0.339   0.711   95.24   16.83   20.61   7.54
  Citadel deck                 0.437   0.691   65.05    9.20   12.71  16.54
  Shelter deck                 0.449   0.646   50.46   12.71   15.83  14.79
  Gun tub                      0.462   0.651   48.23   17.98   18.48  14.59
  Bandstand                    0.463   0.650   47.75   15.63   18.03  14.34
  Triple 25 mm mount           0.464   0.649   47.21   19.10   20.35  13.89
  Light anti-aircraft batter   0.466   0.647   46.27   18.43   19.23  13.59
  25 mm gun                    0.466   0.647   46.09   19.83   21.42  14.47
  Tower level 1                0.470   0.530   15.56   12.71   17.19   6.61
  Tower level 2                0.473   0.527   13.84   17.19   21.68   5.84
  Tower level 3                0.476   0.524   12.14   21.68   26.16   5.06
  Tower level 4                0.480   0.520   10.42   26.16   30.64   4.28
  Gun platform                 0.481   0.634   39.36   15.83   16.18  15.19
  Bridge glazing               0.482   0.518    8.98   32.74   38.57   3.61
  Tower level 5                0.483   0.517    8.72   30.64   35.12   3.50
  High-angle mount             0.485   0.630   36.96   17.08   18.78  13.79
  Bridge                       0.486   0.514    7.00   35.12   39.60   2.72
  High-angle battery           0.487   0.628   36.26   16.18   17.28  13.64
  High-angle gun               0.487   0.627   35.84   17.89   21.30  15.93
  Searchlight platform         0.494   0.506    3.10   17.60   31.96   8.63
  Searchlight                  0.497   0.503    1.52   18.31   33.32   7.56
  Searchlight mirror           0.497   0.503    1.36   18.39   33.24   7.64
  Main rangefinder             0.498   0.502    1.18   39.76   41.00   7.78
  Platform bracket             0.498   0.502    1.10   16.74   31.09   7.68
  Steel mast                   0.499   0.631   33.87    9.60   49.60   0.36
  Steam pipe                   0.538   0.590   13.19    8.94   34.74   0.58
  Boiler casing                0.539   0.586   11.98    8.83   11.04   5.99
  Funnel                       0.545   0.630   21.63    8.94   36.82   4.47
  Stowage hatch                0.776   0.848   18.43    9.87   10.60   8.84
  Floatplane                   0.854   0.931   19.63   11.10   15.64  16.51
  Engine cowling               0.855   0.929   18.79   12.10   14.85  14.37
  Main float                   0.856   0.928   18.47   10.37   12.72  14.16
  Upper wing                   0.856   0.934   19.93   13.92   15.63  17.54
  Lower wing                   0.858   0.932   18.79   12.22   13.93  17.06
  Wingtip float                0.862   0.928   16.78   11.21   13.14  16.13
  Canopy                       0.866   0.919   13.35   13.00   15.14  12.54
  Aircraft catapult            0.882   0.948   16.80   10.84   11.74  17.80
  Launch rail                  0.884   0.946   15.66   11.74   11.92  17.21
  Fin                          0.884   0.903    4.68   13.00   15.94   9.61
  Sternpost                    0.896   1.011   29.50  -10.48   10.00   1.07
  Catapult turntable           0.906   0.924    4.66    9.84   10.84  14.08
  Rudder                       0.944   0.979    8.96  -10.45   -0.88   0.53
  Crane post                   0.969   0.974    1.30    9.94   18.94   0.65
  Aircraft crane               0.971   1.013   10.75   18.69   26.31   0.30
