HMS Dreadnought   record: LOA 160.6 m  LWL 155 m  beam 25 m  draught 8.1 m
  model extent   x   -80.86 ..   +79.74   =  160.60 m   (record LOA 160.6)   Δ +0.00 m
  model height   y    -8.57 ..   +41.41   =   49.98 m   above water 41.41 m
  model breadth  z         ..   +12.84   =   25.68 m   (record beam 25)   Δ +0.68 m

  part                        u fore   u aft   len m      y0      y1   half
  Planking                    -0.022   1.014  160.60   -8.10    8.80  12.50
  Weather deck — laid planki  -0.022   1.014  160.60    7.40    8.82  12.25
  Stem                        -0.022   0.105   19.67   -7.61    8.80   0.69
  Keel                         0.000   1.000  155.00   -8.57   -6.15   0.69
  Rail                         0.020   0.976  148.11    7.40    9.18  12.37
  Waterway                     0.020   0.976  148.11    7.39    8.58  12.25
  Main gun                     0.159   0.836  104.83   11.44   12.00   8.05
  Turret                       0.219   0.776   86.25    9.84   12.93  12.39
  Barbette                     0.229   0.766   83.21    6.90   10.16  12.25
  Torpedo net, rolled          0.250   0.935  106.11    4.34    4.70  12.83
  Net shelf                    0.250   0.934  106.06    3.79    4.34  12.84
  Boom hinge                   0.278   0.847   88.09    3.83    4.25  12.64
  Net boom                     0.280   0.921   99.46    0.91    4.22  12.84
  Turret rangefinder           0.281   0.714   67.18   12.17   12.68  12.46
  Citadel deck                 0.298   0.558   40.27    7.01    9.41  10.75
  Bridge tower                 0.298   0.362   10.00    9.11   19.41   4.25
  Shelter deck                 0.310   0.513   31.44    9.41   11.41   9.63
  Main rangefinder             0.328   0.332    0.76   19.51   20.31   5.00
  Steam pipe                   0.362   0.491   19.97    6.84   28.69   0.43
  Boiler casing                0.363   0.543   27.94    6.75    8.64   4.39
  Funnel                       0.369   0.536   25.95    6.84   30.45   3.28
  Spotting top                 0.412   0.683   42.12   23.54   30.59   2.13
  Tripod leg                   0.423   0.672   38.65    6.80   28.68   3.61
  Steel mast                   0.423   0.671   38.51    7.41   41.41   0.31
  Sternpost                    0.895   1.014   18.55   -7.61    7.90   0.69
  Rudder                       0.944   0.979    5.43   -7.70   -0.65   0.34
