Preussen   record: LOA 134 m  LWL 124 m  beam 16.4 m  draught 8.26 m
  model extent   x   -82.60 ..   +66.77   =  149.37 m   (record LOA 134)   Δ +15.37 m
  model height   y    -8.73 ..   +63.39   =   72.12 m   above water 63.39 m
  model breadth  z         ..   +16.10   =   32.20 m   (record beam 16.4)   Δ +15.80 m

  part                        u fore   u aft   len m      y0      y1   half
  Bowsprit                    -0.166  -0.037   16.03    5.66    8.83   0.33
  Stays and backstays         -0.161   0.960  139.00    4.99   62.98   8.08
  Sail                        -0.161   1.038  148.68    6.23   57.61  16.10
  Bobstay                     -0.157  -0.033   15.34    0.46    8.17   0.04
  Planking                    -0.046   1.035  134.00   -8.26    6.10   8.20
  Weather deck — laid planki  -0.046   1.035  134.00    5.00    6.12   8.04
  Stem                        -0.046   0.107   18.94   -7.72    6.10   0.45
  Keel                         0.000   1.000  124.00   -8.73   -6.10   0.45
  Rail                         0.004   0.991  122.49    5.00    6.32   8.12
  Waterway                     0.004   0.991  122.49    4.99    5.93   8.04
  Tacks                        0.030   0.910  109.14    5.18   10.67  14.50
  Bower anchor                 0.063   0.113    6.23   -0.87    7.38   8.09
  Yard                         0.113   0.914   99.38   25.12   57.77  15.19
  Lifts                        0.115   0.912   98.81   25.42   63.39  15.10
  Sheets                       0.115   0.965  105.42    5.18   52.67  15.09
  Braces                       0.115   0.970  106.04    5.80   57.62  15.10
  Channels                     0.121   0.906   97.35    4.56    5.11   8.92
  Top                          0.132   0.894   94.50   34.84   36.08   3.28
  Shrouds                      0.138   0.887   92.88    4.99   38.32   8.55
  Ratlines                     0.139   0.887   92.76    5.30   33.47   8.46
  Deadeyes                     0.140   0.883   92.09    4.63    5.56   9.09
  Futtock shrouds              0.149   0.877   90.19   31.34   35.94   2.81
  Topmast shrouds              0.150   0.875   89.96   35.72   55.02   2.81
  Topmast ratlines             0.150   0.875   89.88   36.03   52.16   2.77
  Cheeks                       0.153   0.874   89.33   31.95   35.21   0.70
  Steel mast                   0.153   0.873   89.26    5.00   63.37   0.59
  Crosstrees                   0.154   0.873   89.12   54.53   55.13   1.60
  Topgallant shrouds           0.156   0.871   88.60   54.77   62.87   1.27
  Halyard                      0.158   0.965  100.09    5.19   63.38   7.73
  Gaff                         0.868   0.963   11.83   23.80   32.40   0.20
  Boom                         0.869   1.038   21.06    8.76    9.27   0.26
  Sternpost                    0.893   1.034   17.52   -7.51    5.70   0.45
  Rudder                       0.944   0.979    4.34   -7.85   -0.66   0.22
