Preussen   record: LOA 134 m  LWL 124 m  beam 16.4 m  draught 8.26 m
  model extent   x   -82.60 ..   +66.29   =  148.89 m   (record LOA 134)   Δ +14.89 m
  model height   y    -8.73 ..   +56.30   =   65.03 m   above water 56.30 m
  model breadth  z         ..   +13.20   =   26.40 m   (record beam 16.4)   Δ +10.00 m

  part                        u fore   u aft   len m      y0      y1   half
  Bowsprit                    -0.166  -0.037   16.03    5.66    8.83   0.33
  Stays and backstays         -0.161   0.960  139.00    4.98   55.94   8.08
  Sail                        -0.161   0.994  143.12    6.23   51.19  13.20
  Bobstay                     -0.157  -0.033   15.34    0.46    8.17   0.04
  Planking                    -0.046   1.035  134.00   -8.26    6.10   8.20
  Weather deck — laid planki  -0.046   1.035  134.00    5.00    6.12   8.04
  Stem                        -0.046   0.107   18.94   -7.72    6.10   0.45
  Keel                         0.000   1.000  124.00   -8.73   -6.10   0.45
  Rail                         0.004   0.991  122.49    5.00    6.32   8.12
  Waterway                     0.004   0.991  122.49    4.99    5.93   8.04
  Tacks                        0.030   0.897  107.52    5.18    9.67  11.90
  Bower anchor                 0.063   0.113    6.23   -0.87    7.38   8.09
  Channels                     0.121   0.906   97.35    4.56    5.11   8.92
  Yard                         0.125   0.900   96.12   20.11   51.32  12.46
  Lifts                        0.126   0.898   95.73   20.31   56.30  12.39
  Sheets                       0.126   0.965  104.03    5.18   46.83  12.38
  Braces                       0.126   0.970  104.64    5.59   51.20  12.39
  Top                          0.132   0.894   94.50   27.06   32.19   3.28
  Shrouds                      0.138   0.887   92.88    4.99   34.16   8.55
  Ratlines                     0.139   0.887   92.74    5.30   29.84   8.45
  Deadeyes                     0.140   0.883   92.09    4.63    5.56   9.09
  Futtock shrouds              0.149   0.877   90.20   24.67   32.05   2.82
  Topmast shrouds              0.150   0.875   89.96   27.94   48.91   2.81
  Topmast ratlines             0.150   0.875   89.86   28.25   46.29   2.76
  Crosstrees                   0.154   0.873   89.12   41.71   49.02   1.60
  Cheeks                       0.154   0.872   89.05   24.93   31.32   0.62
  Steel mast                   0.154   0.872   88.99    5.00   56.29   0.52
  Topgallant shrouds           0.156   0.871   88.60   41.96   55.84   1.27
  Halyard                      0.158   0.965  100.09    5.19   56.29   7.74
  Gaff                         0.868   0.938    8.77   18.87   25.29   0.20
  Boom                         0.869   0.994   15.50    7.77    8.28   0.26
  Sternpost                    0.893   1.034   17.52   -7.51    5.70   0.45
  Rudder                       0.944   0.979    4.34   -7.85   -0.66   0.22
