War galley   record: LOA 42 m  LWL 39.5 m  beam 5.2 m  draught 1.7 m
  model extent   x   -26.88 ..   +21.92   =   48.80 m   (record LOA 42)   Δ +6.80 m
  model height   y    -1.81 ..   +29.44   =   31.25 m   above water 29.44 m
  model breadth  z         ..   +11.75   =   23.50 m   (record beam 5.2)   Δ +18.30 m

  part                        u fore   u aft   len m      y0      y1   half
  Spur shoe                   -0.181  -0.167    0.54    1.52    1.75   0.09
  Spur                        -0.169   0.010    7.09    0.71    1.93   0.31
  Cheek knee                  -0.044   0.021    2.56    1.07    1.28   0.55
  Lateen yard                 -0.027   0.893   36.33    1.45   29.44   0.06
  Stem                        -0.021   0.102    4.86   -1.52    1.65   0.14
  Planking                    -0.019   1.044   42.00   -1.70    2.05   2.60
  Weather deck — laid planki  -0.019   1.044   42.00    1.10    2.05   2.44
  Flanking piece              -0.008   0.047    2.19    1.66    2.03   1.29
  Courser                     -0.008   0.077    3.38    1.65    2.26   0.23
  Keel                         0.000   1.000   39.50   -1.81   -0.67   0.14
  Wales                        0.005   1.004   39.45    0.06    0.80   2.64
  Breastwork cap               0.016   0.019    0.13    2.08    2.14   3.20
  Bow platform                 0.017   0.170    6.05    1.63    1.73   3.20
  Breastwork                   0.017   0.019    0.09    1.72    2.08   3.20
  Rail                         0.023   0.996   38.45    1.10    2.01   2.47
  Waterway                     0.023   0.996   38.45    1.09    1.91   2.44
  Edge beam                    0.025   0.173    5.85    1.52    1.79   3.39
  Platform post                0.028   0.160    5.21    1.29    1.53   1.62
  Platform beam                0.029   0.159    5.15    1.51    1.63   3.17
  Sail                         0.045   0.892   33.44    1.49   29.41   2.38
  Oars                         0.094   0.897   31.75    0.71    2.67  11.75
  Shrouds                      0.109   0.437   12.94    1.10   16.63   2.61
  Mast                         0.126   0.424   11.78    1.10   10.41   0.17
  Rowing bench                 0.161   0.886   28.65    1.44    1.52   3.25
  Baccalaro                    0.167   0.880   28.14    0.99    1.69   3.45
  Thole                        0.168   0.876   27.96    1.75    2.04   3.34
  Rowing frame                 0.170   0.870   27.64    1.59    1.80   3.38
  Banda                        0.170   0.870   27.64    1.36    1.44   2.84
  Corsia                       0.170   0.870   27.64    1.10    1.55   0.44
  Pedagna                      0.180   0.898   28.35    1.07    1.21   2.14
  Grating                      0.272   0.728   18.04    1.09    1.30   1.07
  Ship's boat                  0.372   0.543    6.72    1.00    3.11   0.99
  Boat skids                   0.407   0.513    4.18    1.12    1.24   1.48
  Capstan                      0.575   0.665    3.54    1.12    1.90   1.77
  Tent post                    0.876   1.024    5.84    1.51    3.01   0.04
  Ridgepole                    0.877   1.024    5.78    2.51    3.05   0.04
  Stern awning                 0.877   1.024    5.77    1.51    3.01   1.46
  Sternpost                    0.898   1.046    5.86   -1.40    2.05   0.14
  Rudder                       1.000   1.055    2.17   -1.56    0.72   0.16
