Treasure ship   record: LOA 70 m  LWL 60 m  beam 18 m  draught 5.2 m
  model extent   x   -34.51 ..   +35.73   =   70.24 m   (record LOA 70)   Δ +0.24 m
  model height   y    -6.50 ..   +44.40   =   50.90 m   above water 44.40 m
  model breadth  z         ..   +12.48   =   24.96 m   (record beam 18)   Δ +6.96 m

  part                        u fore   u aft   len m      y0      y1   half
  Bow transom                 -0.075   0.002    4.63   -3.56    6.98   3.63
  Planking                    -0.074   1.093   70.00   -5.20    7.00   9.00
  Weather deck — laid planki  -0.074   1.093   70.00    5.40    7.12   8.73
  Rail                        -0.023   1.037   63.60    5.40    7.17   8.82
  Waterway                    -0.023   1.037   63.60    5.39    6.74   8.73
  Wales                       -0.015   1.022   62.27    0.28    2.78   9.14
  Keel                         0.000   1.000   60.00   -5.51   -3.53   0.50
  ia-crown                     0.029   0.911   52.95    6.84   10.74   2.48
  ia-claw                      0.029   0.916   53.21    6.55   11.02   2.74
  ia-shank                     0.030   0.933   54.18    6.72   10.83   2.45
  ia-tip                       0.035   0.918   52.94    6.52   11.05   2.76
  ia-ring                      0.056   0.936   52.82    6.65   10.89   2.50
  ia-cable                     0.058   0.946   53.25    6.35   10.81   3.16
  win-spike                    0.087   0.109    1.34    6.64    8.26   1.83
  Sail                         0.095   1.035   56.38    9.42   42.88  12.48
  win-barrel                   0.095   0.105    0.60    6.56    7.16   3.00
  win-standard                 0.098   0.102    0.30    6.26    8.06   3.26
  win-journal                  0.098   0.102    0.20    6.75    6.96   3.26
  Yard                         0.099   0.919   49.20   20.02   42.92   3.28
  Batten 5                     0.099   1.016   55.01   18.24   36.50  10.35
  Boom                         0.100   1.034   56.05    9.33   14.70  11.64
  Batten 3                     0.100   1.030   55.79   14.69   25.16  11.31
  Batten 4                     0.100   1.024   55.48   16.46   30.74  10.93
  Batten 1                     0.100   1.033   56.01   11.14   17.56  11.60
  Batten 2                     0.100   1.032   55.95   12.91   21.00  11.51
  Masthead sheave              0.112   0.879   46.03   28.29   43.32   0.55
  Iron mast straps             0.113   0.879   45.91    9.42   37.66   0.52
  Mast                         0.113   0.879   45.90    5.40   44.40   0.54
  Halyard                      0.114   0.889   46.49    5.62   43.04   1.59
  Sheets                       0.241   1.034   47.53    5.60   36.45  11.58
  Grating                      0.271   0.729   27.52    5.38    5.95   3.82
  Ship's boat                  0.372   0.542   10.20    5.25    7.98   1.50
  Boat skids                   0.404   0.515    6.66    5.33    5.72   2.25
  Aft castle                   0.654   1.075   25.23    5.25   10.69   8.67
  ia-coil                      0.939   0.951    0.72   10.55   10.66   2.19
  Stern transom                0.998   1.093    5.72   -3.97    6.69   4.70
  Rudder                       1.002   1.095    5.62   -6.50    4.02   0.54
